qid,conv_id,turn,year,raw_utterance
81_1,81,1,2020,How do you know when your garage door opener is going bad?
81_2,81,2,2020,Now it stopped working. Why?
81_3,81,3,2020,How much does it cost for someone to fix it?
81_4,81,4,2020,How about replacing it instead?
81_5,81,5,2020,How do I choose a new one?
81_6,81,6,2020,What does a smart one do?
81_7,81,7,2020,What's important for me to know about their safety?
81_8,81,8,2020,How could they be hacked?
82_1,82,1,2020,I would like to learn about GMO Food labeling.
82_2,82,2,2020,What are the pros and cons?
82_3,82,3,2020,And what about the cons?
82_4,82,4,2020,What are the EU rules?
82_5,82,5,2020,Tell me more about traceability tools.
82_6,82,6,2020,What is the role of Co-Extra?
82_7,82,7,2020,How is testing done for contamination?
82_8,82,8,2020,What's the difference between the European and US approaches?
82_9,82,9,2020,How does the DNA-based method work?
82_10,82,10,2020,How could Co-Extra improve it?
83_1,83,1,2020,What are some interesting facts about bees?
83_2,83,2,2020,Why doesn't it spoil?
83_3,83,3,2020,Why are so many dying?
83_4,83,4,2020,What can be done to stop it?
83_5,83,5,2020,What has happened to their habitat?
83_6,83,6,2020,What can I do to help with the problem?
83_7,83,7,2020,What is the cause of CCD?
83_8,83,8,2020,What would happen if they died out?
84_1,84,1,2020,How does seed investment work for startups?
84_2,84,2,2020,Tell me more about angel rounds.
84_3,84,3,2020,How does it compare with crowdfunding?
84_4,84,4,2020,How much is a typical A series round?
84_5,84,5,2020,What are the risks of investing?
84_6,84,6,2020,What are the different types of instruments used by VCs?
85_1,85,1,2020,How much does a used Lamborghini cost?
85_2,85,2,2020,How does it compare to a Ferrari?
85_3,85,3,2020,Interesting. What about for a pimped-out food truck?
85_4,85,4,2020,What licenses and permits are needed?
85_5,85,5,2020,What makes a good location?
85_6,85,6,2020,What is a typical day like?
85_7,85,7,2020,How can I run it successfully?
85_8,85,8,2020,What are some good examples to learn from?
85_9,85,9,2020,"Besides inventive flavors, what made it successful?"
86_1,86,1,2020,What is the climate like in Utah?
86_2,86,2,2020,How does Salt Lake City differ?
86_3,86,3,2020,What is its main economic activity?
86_4,86,4,2020,What was the impact of the 2002 games?
86_5,86,5,2020,What were important ski locations used?
86_6,86,6,2020,What are the important non-ski events that happen in the city?
86_7,86,7,2020,What about some popular non-winter things to do in the area?
87_1,87,1,2020,What are the different types of orange trees?
87_2,87,2,2020,How can you tell them apart?
87_3,87,3,2020,What type has thorns?
87_4,87,4,2020,Where do they originally come from?
87_5,87,5,2020,Tell me about the Hamlin variety.
87_6,87,6,2020,Why did it replace PB?
87_7,87,7,2020,What are the different types of navels?
87_8,87,8,2020,Which is the most delicious?
87_9,87,9,2020,How do they compare with blood oranges?
88_1,88,1,2020,Can I have some information on the labor systems of the Ottoman Empire?
88_2,88,2,2020,What was the role of slavery?
88_3,88,3,2020,How did it govern?
88_4,88,4,2020,Why was it important?
88_5,88,5,2020,What was the culture like?
88_6,88,6,2020,What was the role of storytellers?
88_7,88,7,2020,What were popular stories?
88_8,88,8,2020,What was the importance of the millet?
88_9,88,9,2020,Why did the British continue it?
88_10,88,10,2020,What is its historical importance in developing national identities?
89_1,89,1,2020,What is the relationship between predator and prey?
89_2,89,2,2020,What do predator plants eat?
89_3,89,3,2020,What about Venus flytraps in particular?
89_4,89,4,2020,Where is it native to?
89_5,89,5,2020,How do they attract and catch their prey?
89_6,89,6,2020,What are other similar plants from its native area?
89_7,89,7,2020,How do populations of predators and prey relate?
89_8,89,8,2020,Why would the roles reverse?
89_9,89,9,2020,How does the relationship influence biodiversity?
89_10,89,10,2020,What are examples of these predators?
89_11,89,11,2020,Why would humans be considered one?
90_1,90,1,2020,Which is the biggest commercial plane?
90_2,90,2,2020,What are its operational costs?
90_3,90,3,2020,How does its fuel consumption compare to its competitors?
90_4,90,4,2020,How do the freighter versions compare to each other?
90_5,90,5,2020,Why did the A380 stop being produced?
90_6,90,6,2020,What was Boeing's response to compete with it?
90_7,90,7,2020,What is the newest version and what is better about it?
